Index,name,establishment,url,address,city,locality,zipcode,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,location_url
1,Millhouse,['Casual Dining'],https://www.zomato.com/ahmedabad/millhouse-1-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3rd Floor, Alpha One Mall, Vastrapur, Ahmedabad",Ahmedabad,"Ahmedabad One Mall, Vastrapur",,"Ahmedabad One Mall, Vastrapur, Ahmedabad","Continental, Italian",11 AM to 11 PM,1200,3,"['No Alcohol Available', 'Debit Card', 'Credit Card', 'Dinner', 'Mall Parking', 'Cash', 'Lunch', 'Takeaway Available', 'Group Meal', 'Desserts and Bakes', 'All Day Breakfast', 'Indoor Seating', 'Serves Jain Food', 'Vegan Options', 'Air Conditioned', 'Wheelchair Accessible', 'Lunch Menu', 'Kid Friendly']",4.5,Excellent,1530,https://www.google.com/maps/search/?api=1&query=Millhouse%2C%203rd%20Floor%2C%20Alpha%20One%20Mall%2C%20Vastrapur%2C%20Ahmedabad
2,The Red Bistro,['Casual Dining'],https://www.zomato.com/ahmedabad/the-red-bistro-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Armeida, Sindhu Bhavan Road, Off SG Road, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Mexican, Italian, North Indian","6:30 PM to 10:45 PM (Mon), 12 Noon to 10:45 PM (Tue-Sun)",1400,3,"['Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Free Parking', 'Outdoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Pure Veg', 'Live Sports Screening', 'Indoor Seating', 'Air Conditioned']",4.6,Excellent,695,https://www.google.com/maps/search/?api=1&query=The%20Red%20Bistro%2C%20Armeida%2C%20Sindhu%20Bhavan%20Road%2C%20Off%20SG%20Road%2C%20Bodakdev%2C%20Ahmedabad
3,Urban Khichdi,['Casual Dining'],https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A -103, Shivalik Plaza, Opposite AMA, IIM Road, Panjrapole, Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,380015,"Vastrapur, Ahmedabad","North Indian, Continental","Mon-Sun (12 Noon to 4 PM, 7 PM to 11 PM)",600,2,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Table Reservation Not Required', 'Pure Veg', 'Free Parking', 'Digital Payments Accepted']",4.7,Excellent,619,https://www.google.com/maps/search/?api=1&query=Urban%20Khichdi%2C%20A%20-103%2C%20Shivalik%20Plaza%2C%20Opposite%20AMA%2C%20IIM%20Road%2C%20Panjrapole%2C%20Vastrapur%2C%20Ahmedabad
4,Soulmate - Make Moments Memorable,['Casual Dining'],https://www.zomato.com/ahmedabad/soulmate-make-moments-memorable-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 102, Addor Aspire, University Road, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,380015,"Navrangpura, Ahmedabad","Italian, Continental","11 AM to 3 PM, 7 PM to 12 Midnight",1500,4,"['Lunch', 'Cash', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Free Wifi', 'Pure Veg', 'Couple Entry Only', 'Air Conditioned']",4.7,Excellent,477,https://www.google.com/maps/search/?api=1&query=Soulmate%20-%20Make%20Moments%20Memorable%2C%20Shop%20102%2C%20Addor%20Aspire%2C%20University%20Road%2C%20Navrangpura%2C%20Ahmedabad
5,Huber & Holly,['Dessert Parlour'],https://www.zomato.com/ahmedabad/huber-holly-1-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7 B, Pakwan Cross Road, Boadakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Desserts, Italian",10am – 3am (Mon-Sun),500,2,"['Cash', 'Takeaway Available', 'Credit Card', 'Delivery', 'Debit Card', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes', 'Outdoor Seating', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Pure Veg']",4.8,Excellent,1545,https://www.google.com/maps/search/?api=1&query=Huber%20%26%20Holly%2C%207%20B%2C%20Pakwan%20Cross%20Road%2C%20Boadakdev%2C%20Ahmedabad
6,Anjoy Latenight Meals,[],https://www.zomato.com/ahmedabad/anjoy-latenight-meals-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"B -3, Himalaya Complex, Nehru Park Fountain, Near SBI Vastrapur Lake Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,,"Vastrapur, Ahmedabad","North Indian, Fast Food","12 Noon to 4 PM, 7:30 PM to 4:30 AM",500,2,"['No Alcohol Available', 'Delivery', 'No Seating Available', 'Cash', 'Takeaway Available', 'Digital Payments Accepted']",4.3,Very Good,1284,https://www.google.com/maps/search/?api=1&query=Anjoy%20Latenight%20Meals%2C%20B%20-3%2C%20Himalaya%20Complex%2C%20Nehru%20Park%20Fountain%2C%20Near%20SBI%20Vastrapur%20Lake%20Vastrapur%2C%20Ahmedabad
7,The Esplendido Cafe,['Café'],https://www.zomato.com/ahmedabad/the-esplendido-cafe-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Law Garden Cross Road, Opposite Samartheshwar Mahadev, Near V-Mart, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad","Cafe, American, Italian, Chinese",11:30am – 11:30pm (Mon-Sun),800,3,"['Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Pure Veg', 'Board Games', 'Valet Parking Available', 'Live Music', 'Table booking recommended', 'Air Conditioned', 'Wifi', 'Serves Jain Food', 'Free Parking', 'Outdoor Seating', 'Indoor Seating']",4.5,Excellent,1549,https://www.google.com/maps/search/?api=1&query=The%20Esplendido%20Cafe%2C%20Ground%20Floor%2C%20Law%20Garden%20Cross%20Road%2C%20Opposite%20Samartheshwar%20Mahadev%2C%20Near%20V-Mart%2C%20Navrangpura%2C%20Ahmedabad
8,La Pino'z Pizza,['Quick Bites'],https://www.zomato.com/ahmedabad/la-pinoz-pizza-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 10,  Circle B, Nyay Marg, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Pizza, Italian",11 AM to 11 PM,500,2,"['Cash', 'Debit Card', 'Takeaway Available', 'Lunch', 'Dinner', 'Credit Card', 'Delivery', 'No Alcohol Available', 'Pure Veg', 'Air Conditioned', 'Free Parking', 'Indoor Seating']",4.5,Excellent,2476,https://www.google.com/maps/search/?api=1&query=La%20Pino%27z%20Pizza%2C%20Shop%2010%2C%20%20Circle%20B%2C%20Nyay%20Marg%2C%20Bodakdev%2C%20Ahmedabad
9,RP's Pizzeria,['Casual Dining'],https://www.zomato.com/ahmedabad/rps-pizzeria-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Yash Aqua, Near Vijay Cross Road, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad","Pizza, Italian",11 AM to 11 PM,550,2,"['Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Pure Veg', 'Table booking for Groups', 'Air Conditioned', 'Serves Jain Food', 'Buffet', 'Group Meal']",4.4,Very Good,1653,https://www.google.com/maps/search/?api=1&query=RP%27s%20Pizzeria%2C%20Ground%20Floor%2C%20Yash%20Aqua%2C%20Near%20Vijay%20Cross%20Road%2C%20Navrangpura%2C%20Ahmedabad
10,I Love Sandwich House,['Café'],https://www.zomato.com/ahmedabad/i-love-sandwich-house-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Shaival Complex, Opposite Rajpath Club, S G Highway, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,380015,"Bodakdev, Ahmedabad","Cafe, Sandwich",8am – 1am (Mon-Sun),900,3,"['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Live Sports Screening', 'Free Wifi', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",4.2,Very Good,1266,https://www.google.com/maps/search/?api=1&query=I%20Love%20Sandwich%20House%2C%20Ground%20Floor%2C%20Shaival%20Complex%2C%20Opposite%20Rajpath%20Club%2C%20S%20G%20Highway%2C%20Bodakdev%2C%20Ahmedabad
